,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
132,2023-12-15,Cluj,Munich,2023-12-27,14:20,15:05,AF,0,105,98
133,2023-12-15,Munich,Cluj,2023-12-27,11:00,13:40,AF,0,100,307
134,2023-12-15,Cluj,Munich,2023-12-28,14:20,15:05,AF,0,105,164
135,2023-12-15,Munich,Cluj,2023-12-28,11:00,13:40,AF,0,100,190
136,2023-12-15,Cluj,Munich,2023-12-29,14:20,15:05,AF,0,105,98
137,2023-12-15,Munich,Cluj,2023-12-29,11:00,13:40,AF,0,100,190
138,2023-12-15,Cluj,Munich,2023-12-30,14:20,15:05,AF,0,105,202
139,2023-12-15,Munich,Cluj,2023-12-30,11:00,13:40,AF,0,100,152
140,2023-12-15,Munich,Cluj,2024-01-02,11:00,13:40,AF,0,100,154
141,2023-12-15,Munich,Cluj,2024-01-03,11:00,13:40,AF,0,100,154
142,2023-12-15,Munich,Cluj,2024-01-04,11:00,13:40,AF,0,100,154
143,2023-12-15,Munich,Cluj,2024-01-05,22:10,00:50,AF,0,100,154
144,2023-12-15,Cluj,Roma,2023-12-20,18:35,00:15,AF,1,400,98
145,2023-12-15,Cluj,Roma,2023-12-21,12:35,13:50,AF,0,135,64
146,2023-12-15,Cluj,Roma,2023-12-22,06:30,10:35,AF,1,305,94
147,2023-12-15,Cluj,Roma,2023-12-23,14:35,15:50,AF,0,135,70
148,2023-12-15,Cluj,Roma,2023-12-26,14:35,15:50,AF,0,135,70
149,2023-12-15,Roma,Cluj,2023-12-26,16:25,19:35,AF,0,130,90
150,2023-12-15,Cluj,Roma,2023-12-27,15:05,20:40,AF,1,395,132
151,2023-12-15,Roma,Cluj,2023-12-27,13:50,20:40,AF,1,350,165
152,2023-12-15,Cluj,Roma,2023-12-28,12:35,13:50,AF,0,135,60
153,2023-12-15,Roma,Cluj,2023-12-28,14:25,17:35,AF,0,130,60
154,2023-12-15,Cluj,Roma,2023-12-29,13:30,17:40,AF,1,310,198
155,2023-12-15,Roma,Cluj,2023-12-29,08:05,13:40,AF,1,275,174
156,2023-12-15,Cluj,Roma,2023-12-30,14:35,15:50,AF,0,135,100
157,2023-12-15,Roma,Cluj,2023-12-30,16:25,19:35,AF,0,130,60
158,2023-12-15,Roma,Cluj,2024-01-02,16:25,19:35,AF,0,130,100
159,2023-12-15,Roma,Cluj,2024-01-03,13:50,20:40,AF,1,350,161
160,2023-12-15,Roma,Cluj,2024-01-04,14:25,17:35,AF,0,130,90
161,2023-12-15,Roma,Cluj,2024-01-05,06:05,13:50,AF,1,405,131
162,2023-12-15,Cluj,Lisabona,2023-12-20,09:50,16:30,AF,1,520,122
163,2023-12-15,Cluj,Lisabona,2023-12-21,14:45,20:15,AF,1,450,179
164,2023-12-15,Cluj,Lisabona,2023-12-22,16:15,22:15,AF,1,480,226
165,2023-12-15,Cluj,Lisabona,2023-12-23,06:10,11:10,AF,1,420,199
166,2023-12-15,Cluj,Lisabona,2023-12-26,06:00,11:10,AF,1,430,214
167,2023-12-15,Lisabona,Cluj,2023-12-26,15:35,00:50,AF,1,435,94
